populacao,geracao,melhor_afinidade,media_afinidade
40,37,0.970000,0.900500
40,38,0.970000,0.905750
40,39,0.970000,0.923500
40,40,0.970000,0.893250
40,41,0.970000,0.910750
40,42,0.970000,0.896250
40,43,0.970000,0.926000
40,44,0.970000,0.908000
40,45,0.970000,0.923000
40,46,0.970000,0.891000
40,47,0.970000,0.890250
40,48,0.970000,0.909000
40,49,0.970000,0.914000
40,50,0.970000,0.899250
45,1,0.970000,0.819778
45,2,0.970000,0.885778
45,3,0.970000,0.891556
45,4,0.970000,0.898667
45,5,0.970000,0.892000
45,6,0.970000,0.888444
45,7,0.970000,0.882444
45,8,0.970000,0.887778
45,9,0.970000,0.878444
45,10,0.970000,0.898000
45,11,0.970000,0.910889
45,12,0.970000,0.907111
45,13,0.970000,0.889556
45,14,0.970000,0.907333
45,15,0.970000,0.922667
45,16,0.970000,0.892889
45,17,0.970000,0.904444
45,18,0.970000,0.896889
45,19,0.970000,0.900889
45,20,0.970000,0.897778
45,21,0.970000,0.890444
45,22,0.970000,0.897111
45,23,0.970000,0.884222
45,24,0.970000,0.871111
45,25,0.970000,0.922444
45,26,0.970000,0.888889
45,27,0.970000,0.879778
45,28,0.970000,0.881778
45,29,0.970000,0.891111
45,30,0.970000,0.884889
45,31,0.970000,0.903333
45,32,0.970000,0.894667
45,33,0.970000,0.888889
45,34,0.970000,0.884667
45,35,0.970000,0.882889
45,36,0.970000,0.889333
45,37,0.970000,0.903333
45,38,0.970000,0.909111
45,39,0.970000,0.907111
45,40,0.970000,0.888444
45,41,0.970000,0.909556
45,42,0.970000,0.907111
45,43,0.970000,0.902000
45,44,0.970000,0.914889
45,45,0.970000,0.885111
45,46,0.970000,0.921778
45,47,0.970000,0.912667
45,48,0.970000,0.883333
45,49,0.970000,0.894889
45,50,0.970000,0.908444
50,1,0.970000,0.826000
50,2,0.970000,0.874600
50,3,0.970000,0.910000
50,4,0.970000,0.902400
50,5,0.970000,0.892000
50,6,0.970000,0.902800
50,7,0.970000,0.900400
50,8,0.970000,0.917200
50,9,0.970000,0.917600
50,10,0.970000,0.914200
50,11,0.970000,0.892800
50,12,0.970000,0.904400
50,13,0.970000,0.891200
50,14,0.970000,0.906200
50,15,0.970000,0.900600
50,16,0.970000,0.917400
50,17,0.970000,0.928400
50,18,0.970000,0.910400
50,19,0.980000,0.913400
50,20,0.980000,0.890600
50,21,0.980000,0.923600
50,22,0.980000,0.918200
50,23,0.980000,0.924600
50,24,0.980000,0.914600
50,25,0.980000,0.909200
50,26,0.980000,0.916200
50,27,0.980000,0.901400
50,28,0.980000,0.916400
50,29,0.980000,0.918000
50,30,0.980000,0.919200
50,31,0.980000,0.908000
50,32,0.980000,0.913600
50,33,0.980000,0.914200
50,34,0.980000,0.912000
50,35,0.980000,0.905000
50,36,0.980000,0.927800
50,37,0.980000,0.923600
50,38,0.980000,0.937800
50,39,0.980000,0.905400
50,40,0.980000,0.926800
50,41,0.980000,0.910600
50,42,0.980000,0.925000
50,43,0.980000,0.911600
50,44,0.980000,0.933800
50,45,0.980000,0.919600
50,46,0.980000,0.908400
50,47,0.980000,0.921200
50,48,0.980000,0.920600
50,49,0.980000,0.915800
50,50,0.980000,0.903600
